enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NRPPHRQGST_L_rev	cplx_HOMODIMER_GSTT1	136278.8049523991	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c <-- 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_rev	cplx_HOMOTRIMER_MGST2	127233.0420783922	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c <-- 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_rev	cplx_MONOMER_LANCL1	118326.83702670697	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c <-- 5sgthnrpphr__L_c
enzyme_NTD2AMP_fwd	cplx_HOMODIMER_IMPA1	146786.74703192044	pc	NTD2AMP	2amp_c + h2o_c --> adn_c + pi_c
enzyme_NTD2AMP_fwd	cplx_HOMODIMER_IMPA2	150911.66004956016	pc	NTD2AMP	2amp_c + h2o_c --> adn_c + pi_c
enzyme_NTD2AMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTD2AMP	2amp_c + h2o_c --> adn_c + pi_c
enzyme_NTD2AMP_rev	cplx_HOMODIMER_IMPA1	0	pc	NTD2AMP	2amp_c + h2o_c <-- adn_c + pi_c
enzyme_NTD2AMP_rev	cplx_HOMODIMER_IMPA2	0	pc	NTD2AMP	2amp_c + h2o_c <-- adn_c + pi_c
enzyme_NTD2AMP_rev	cplx_HOMODIMER_NT5C	0	pc	NTD2AMP	2amp_c + h2o_c <-- adn_c + pi_c
enzyme_NTD2CMP_fwd	cplx_HOMODIMER_IMPA1	146786.74703192044	pc	NTD2CMP	2cmp_c + h2o_c --> cytd_c + pi_c
enzyme_NTD2CMP_fwd	cplx_HOMODIMER_IMPA2	150911.66004956016	pc	NTD2CMP	2cmp_c + h2o_c --> cytd_c + pi_c
enzyme_NTD2CMP_fwd	cplx_HOMODIMER_NT5C	121204.48534555783	pc	NTD2CMP	2cmp_c + h2o_c --> cytd_c + pi_c
