	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
45	ADCY10	4.6.1.1	Q96PN6	4.-.-.-	Lyases	4.6.-.-	Phosphorus-oxygen lyases	4.6.1.-	Phosphorus-oxygen lyases	adenylate cyclase	3',5'-cyclic AMP synthetase;adenyl cyclase;adenylyl cyclase;ATP pyrophosphate-lyase	ATP = 3',5'-cyclic AMP + diphosphate	-!- Also acts on dATP to form 3',5'-cyclic dAMP;-!- Requires pyruvate;-!- Activated by NAD(+) in presence of EC 2.4.2.31
46	ADCY2	4.6.1.1	Q08462	4.-.-.-	Lyases	4.6.-.-	Phosphorus-oxygen lyases	4.6.1.-	Phosphorus-oxygen lyases	adenylate cyclase	3',5'-cyclic AMP synthetase;adenyl cyclase;adenylyl cyclase;ATP pyrophosphate-lyase	ATP = 3',5'-cyclic AMP + diphosphate	-!- Also acts on dATP to form 3',5'-cyclic dAMP;-!- Requires pyruvate;-!- Activated by NAD(+) in presence of EC 2.4.2.31
47	ADH5	1.1.1.1	P11766	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	alcohol dehydrogenase	aldehyde reductase	(1) a primary alcohol + NAD(+) = an aldehyde + H(+) + NADH;(2) a secondary alcohol + NAD(+) = a ketone + H(+) + NADH	-!- Acts on primary or secondary alcohols or hemi-acetals with very broad;    specificity; however the enzyme oxidizes methanol much more poorly;    than ethanol;-!- The animal, but not the yeast, enzyme acts also on cyclic secondary;    alcohols;-!- Formerly EC 1.1.1.32
48	ADH5	1.1.1.284	P11766	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	S-(hydroxymethyl)glutathione dehydrogenase	ADH3;chi-ADH;class III alcohol dehydrogenase;FDH;formaldehyde dehydrogenase;formaldehyde dehydrogenase (glutathione);formic dehydrogenase;GD-FALDH;glutathione-dependent formaldehyde dehydrogenase;GS-FDH;NAD- and glutathione-dependent formaldehyde dehydrogenase;NAD-dependent formaldehyde dehydrogenase;NAD-linked formaldehyde dehydrogenase	(1) NADP(+) + S-(hydroxymethyl)glutathione = H(+) + NADPH +;S-formylglutathione;(2) NAD(+) + S-(hydroxymethyl)glutathione = H(+) + NADH +;S-formylglutathione	-!- The substrate, S-(hydroxymethyl)glutathione, forms spontaneously from;    glutathione and formaldehyde; its rate of formation is increased in;    some bacteria by the presence of EC 4.4.1.22;-!- Forms part of the pathway that detoxifies formaldehyde, since the;    product is hydrolyzed by EC 3.1.2.12;-!- Also specifically reduces S-nitrosylglutathione;-!- Formerly EC 1.2.1.1
49	ADI1	1.13.11.53	Q9BV57	1.-.-.-	Oxidoreductases	1.13.-.-	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2	1.13.11.-	With incorporation of two atoms of oxygen	acireductone dioxygenase (Ni(2+)-requiring)	2-hydroxy-3-keto-5-thiomethylpent-1-ene dioxygenase;acireductone dioxygenase;ARD;E-2	1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + O2 =;3-(methylsulfanyl)propanoate + CO + formate + 2 H(+)	-!- If Fe(2+) is bound instead of Ni(2+), the reaction catalyzed by;    EC 1.13.11.54 occurs instead;-!- The enzyme from Klebsiella oxytoca (formerly Klebsiella pneumoniae);    ATCC 8724 is involved in the methionine salvage pathway
50	ADI1	1.13.11.54	Q9BV57	1.-.-.-	Oxidoreductases	1.13.-.-	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2	1.13.11.-	With incorporation of two atoms of oxygen	acireductone dioxygenase (Fe(2+)-requiring)	2-hydroxy-3-keto-5-thiomethylpent-1-ene dioxygenase;acireductone dioxygenase;ARD';E-2'	1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + O2 = 4-methylsulfanyl-;2-oxobutanoate + formate + 2 H(+)	-!- If Ni(2+) is bound instead of Fe(2+), the reaction catalyzed by;    EC 1.13.11.53 occurs instead;-!- The enzyme from Klebsiella oxytoca (formerly Klebsiella pneumoniae);    ATCC 8724 is involved in the methionine salvage pathway
51	ADK	2.7.1.20	P55263	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	adenosine kinase		adenosine + ATP = ADP + AMP + H(+)	-!- 2-Aminoadenosine can also act as acceptor
52	ADPGK	2.7.1.147	Q9BRR6	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	ADP-specific glucose/glucosamine kinase	ADP-dependent glucokinase;ADP-specific glucokinase	(1) ADP + D-glucose = AMP + D-glucose 6-phosphate + H(+);(2) ADP + D-glucosamine = AMP + D-glucosamine 6-phosphate + H(+)	-!- Requires Mg(2+);-!- The enzyme, characterized from a number of hyperthermophilic archaeal;    species, is highly specific for ADP;-!- No activity is detected when ADP is replaced by ATP, GDP,;    phosphoenolpyruvate, diphosphate or polyphosphate
53	ADPRS	3.2.1.143	Q9NX46	3.-.-.-	Hydrolases	3.2.-.-	Glycosylases	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds	poly(ADP-ribose) glycohydrolase		[(1''->2')-ADP-alpha-D-ribose](n) + H2O = [(1''->2')-ADP-alpha-D-;ribose](n-1) + ADP-D-ribose	-!- Specific to (1''-2') linkage of ribose-ribose bond of poly(ADP-D-;    ribose)
54	ADSL	4.3.2.2	P30566	4.-.-.-	Lyases	4.3.-.-	Carbon-nitrogen lyases	4.3.2.-	Lyases acting on amides, amidines, etc	adenylosuccinate lyase	adenylosuccinase;succino AMP-lyase	(1) N(6)-(1,2-dicarboxyethyl)-AMP = AMP + fumarate;(2) (2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-;carboxamido]succinate = 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-;carboxamide + fumarate	-!- Also acts on 1-(5-phosphoribosyl)-4-(N-succinocarboxamide)-5-;    aminoimidazole
55	ADSS2	6.3.4.4	P30520	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.4.-	Other carbon--nitrogen ligases	adenylosuccinate synthase	adenylosuccinate synthetase;IMP--aspartate ligase;succinoadenylic kinosynthetase	GTP + IMP + L-aspartate = GDP + 2 H(+) + N(6)-(1,2-dicarboxyethyl)-AMP +;phosphate	
56	AGL	2.4.1.25	P35573	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	4-alpha-glucanotransferase	D-enzyme;dextrin glycosyltransferase;disproportionating enzyme;oligo-1,4-1,4-glucantransferase	Transfers a segment of a (1->4)-alpha-D-glucan to a new position in an;acceptor, which may be glucose or a (1->4)-alpha-D-glucan	-!- An enzymic activity of this nature forms part of the mammalian and;    Saccharomyces cerevisiae glycogen branching system (see EC 3.2.1.33);-!- Formerly EC 2.4.1.3
57	AGL	3.2.1.33	P35573	3.-.-.-	Hydrolases	3.2.-.-	Glycosylases	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds	amylo-alpha-1,6-glucosidase	amylo-1,6-glucosidase;dextrin 6-alpha-D-glucosidase	Hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen;phosphorylase limit dextrin	-!- This enzyme hydrolyzes an unsubstituted glucose unit linked by an;    alpha(1->6) bond to an alpha(1->4) glucose chain;-!- The enzyme activity found in mammals and Saccharomyces cerevisiae is;    in a polypeptide chain containing two active centers;-!- The other activity is similar to that of EC 2.4.1.25, which acts on;    the glycogen phosphorylase limit dextrin chains to expose the single;    glucose residues, which the 6-alpha-glucosidase activity can then;    hydrolyze;-!- Together, these two activities constitute the glycogen debranching;    system
58	AGPAT1	2.3.1.51	Q99943	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerol-3-phosphate O-acyltransferase		a 1-acyl-sn-glycero-3-phosphate + an acyl-CoA = a 1,2-diacyl-sn-glycero-;3-phosphate + CoA	-!- Acyl-[acyl-carrier-protein] can also act as acyl donor;-!- The animal enzyme is specific for the transfer of unsaturated fatty;    acyl groups
59	AGPAT3	2.3.1.51	Q9NRZ7	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerol-3-phosphate O-acyltransferase		a 1-acyl-sn-glycero-3-phosphate + an acyl-CoA = a 1,2-diacyl-sn-glycero-;3-phosphate + CoA	-!- Acyl-[acyl-carrier-protein] can also act as acyl donor;-!- The animal enzyme is specific for the transfer of unsaturated fatty;    acyl groups
60	AGPAT4	2.3.1.51	Q9NRZ5	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerol-3-phosphate O-acyltransferase		a 1-acyl-sn-glycero-3-phosphate + an acyl-CoA = a 1,2-diacyl-sn-glycero-;3-phosphate + CoA	-!- Acyl-[acyl-carrier-protein] can also act as acyl donor;-!- The animal enzyme is specific for the transfer of unsaturated fatty;    acyl groups
61	AHCY	3.13.2.1	P23526	3.-.-.-	Hydrolases	3.13.-.-	Acting on carbon-sulfur bonds	3.13.2.-	Thioether and trialkylsulfonium hydrolases	adenosylhomocysteinase	adenosylhomocysteine hydrolase;AdoHcyase;S-adenosylhomocysteinase;S-adenosylhomocysteine hydrolase;S-adenosylhomocysteine synthase;SAHase	H2O + S-adenosyl-L-homocysteine = adenosine + L-homocysteine	-!- The enzyme contains one tightly bound NAD(+) per subunit;-!- This appears to bring about a transient oxidation at C-3' of the;    5'-deoxyadenosine residue, thus labilizing the thioether bond,;    cf. EC 5.5.1.4;-!- Formerly EC 3.3.1.1
62	AK1	2.7.4.10	P00568	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-triphosphate--adenylate kinase		a ribonucleoside 5'-triphosphate + AMP = a ribonucleoside 5'-diphosphate;+ ADP	-!- Many nucleoside triphosphates can act as donors
63	AK1	2.7.4.3	P00568	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	adenylate kinase	adenylic kinase;adenylokinase;myokinase	AMP + ATP = 2 ADP	-!- Inorganic triphosphate can also act as donor
64	AK1	2.7.4.6	P00568	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
65	AKR1A1	1.1.1.19	P14550	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	glucuronate reductase	D-glucuronate dehydrogenase;D-glucuronate reductase;glucuronate dehydrogenase;L-glucuronate reductase;NADP-L-gulonate dehydrogenase;TPN-L-gulonate dehydrogenase	L-gulonate + NADP(+) = aldehydo-D-glucuronate + H(+) + NADPH	-!- Also reduces D-galacturonate;-!- May be identical with EC 1.1.1.2
66	AKR1A1	1.1.1.2	P14550	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	alcohol dehydrogenase (NADP(+))	aldehyde reductase (NADPH)	a primary alcohol + NADP(+) = an aldehyde + H(+) + NADPH	-!- Some members of this group oxidize only primary alcohols; others act;    also on secondary alcohols;-!- May be identical with EC 1.1.1.19, EC 1.1.1.33 and EC 1.1.1.55;-!- Re-specific with respect to NADPH;-!- Formerly EC 1.1.1.33
67	AKR1A1	1.1.1.20	P14550	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	glucuronolactone reductase		L-gulono-1,4-lactone + NADP(+) = D-glucurono-3,6-lactone + H(+) + NADPH	
68	AKR1A1	1.1.1.372	P14550	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	D/L-glyceraldehyde reductase		(1) glycerol + NADP(+) = H(+) + L-glyceraldehyde + NADPH;(2) glycerol + NADP(+) = D-glyceraldehyde + H(+) + NADPH	-!- The enzyme takes part in a D-galacturonate degradation pathway in the;    fungi Aspergillus niger and Trichoderma reesei (Hypocrea jecorina);-!- It has equal activity with D- and L-glyceraldehyde, and can also;    reduce glyoxal and methylglyoxal;-!- The reaction is only observed in the direction of glyceraldehyde;    reduction
69	AKR1A1	1.1.1.54	P14550	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	allyl-alcohol dehydrogenase		allyl alcohol + NADP(+) = acrolein + H(+) + NADPH	-!- Also acts on saturated primary alcohols
70	AKR1B1	1.1.1.21	P15121	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	aldose reductase	aldehyde reductase;polyol dehydrogenase (NADP(+))	(1) an alditol + NAD(+) = an aldose + H(+) + NADH;(2) an alditol + NADP(+) = an aldose + H(+) + NADPH	-!- Wide specificity;-!- Formerly EC 1.1.1.139
71	AKR1B1	1.1.1.300	P15121	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	NADP-retinol dehydrogenase	all-trans retinal reductase;all-trans-retinol dehydrogenase;NADP(H)-dependent retinol dehydrogenase/reductase;retinol dehydrogenase [NADP(+)]	all-trans-retinol + NADP(+) = all-trans-retinal + H(+) + NADPH	-!- Greater catalytic efficiency in the reductive direction;-!- This observation, and the enzyme's localization at the entrance to;    the mitochondrial matrix, suggest that it may function to protect;    mitochondria against oxidative stress associated with the highly;    reactive retinal produced from dietary beta-carotene by;    EC 1.13.11.63;-!- Km-values for NADP(+) and NADPH are at least 800-fold lower than;    those for NAD(+) and NADH;-!- This enzyme differs from EC 1.1.1.105 which prefers NAD(+) and NADH;-!- Formerly EC 1.1.1.n2
72	AKR1B1	1.1.1.372	P15121	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	D/L-glyceraldehyde reductase		(1) glycerol + NADP(+) = H(+) + L-glyceraldehyde + NADPH;(2) glycerol + NADP(+) = D-glyceraldehyde + H(+) + NADPH	-!- The enzyme takes part in a D-galacturonate degradation pathway in the;    fungi Aspergillus niger and Trichoderma reesei (Hypocrea jecorina);-!- It has equal activity with D- and L-glyceraldehyde, and can also;    reduce glyoxal and methylglyoxal;-!- The reaction is only observed in the direction of glyceraldehyde;    reduction
73	AKR1B1	1.1.1.54	P15121	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	allyl-alcohol dehydrogenase		allyl alcohol + NADP(+) = acrolein + H(+) + NADPH	-!- Also acts on saturated primary alcohols
74	AKR1C3	1.1.1.188	P42330	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	prostaglandin-F synthase	PGD2 11-ketoreductase;PGF synthetase;prostaglandin 11-ketoreductase;prostaglandin-D2 11-ketoreductase;prostaglandin-D2 11-reductase;prostaglandin-D2 ketoreductase;prostaglandin-F synthetase	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2	-!- Reduces prostaglandin D2 and prostaglandin H2 to prostaglandin F2;;    prostaglandin D2 is not an intermediate in the reduction of;    prostaglandin H2;-!- Also catalyzes the reduction of a number of carbonyl compounds, such;    as 9,10-phenanthroquinone and 4-nitroacetophenone
75	AKR1C3	1.1.1.210	P42330	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	3beta-(or 20alpha)-hydroxysteroid dehydrogenase	3-beta-HSD;progesterone reductase	5alpha-androstane-3beta,17beta-diol + NADP(+) = 17beta-hydroxy-5alpha-;androstan-3-one + H(+) + NADPH	-!- Also acts on 20alpha-hydroxysteroids
76	AKR1C3	1.1.1.239	P42330	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	3alpha-(17beta)-hydroxysteroid dehydrogenase (NAD(+))	17beta-HSD;17-ketoreductase	NAD(+) + testosterone = androst-4-ene-3,17-dione + H(+) + NADH	-!- Also acts on other 17beta-hydroxysteroids, on the 3alpha-hydroxy;    group of pregnanes and bile acids;-!- Different from EC 1.1.1.50 or EC 1.1.1.213;-!- Formerly EC 1.1.1.63
77	AKR1C3	1.1.1.357	P42330	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	3alpha-hydroxysteroid 3-dehydrogenase	3alpha-hydroxysteroid dehydrogenase	(1) a 3alpha-hydroxysteroid + NADP(+) = a 3-oxosteroid + H(+) + NADPH;(2) a 3alpha-hydroxysteroid + NAD(+) = a 3-oxosteroid + H(+) + NADH	-!- The enzyme acts on multiple 3alpha-hydroxysteroids, such as;    androsterone and 5 alpha-dihydrotestosterone;-!- The mammalian enzymes are involved in inactivation of steroid;    hormones, while the bacterial enzymes are involved in steroid;    degradation;-!- This entry stands for enzymes whose stereo-specificity with respect;    to NAD(+) or NADP(+) is not known (cf. EC 1.1.1.50 and EC 1.1.1.213)
78	AKR1C3	1.1.1.53	P42330	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	3alpha(or 20beta)-hydroxysteroid dehydrogenase	(R)-20-hydroxysteroid dehydrogenase;cortisone reductase	androstan-3alpha,17beta-diol + NAD(+) = 17beta-hydroxyandrostanone + H(+);+ NADH	-!- The 3alpha-hydroxy group or 20beta-hydroxy group of pregnane and;    androstane steroids can act as donor
