enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADRNLGTHABCte_fwd	cplx_MONOMER_RALBP1	174570.38645527256	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c --> 5sgthadrnl__L_e + adp_c + h_c + pi_c
enzyme_ADRNLGTHABCte_rev	cplx_MONOMER_ABCC1	0	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c <-- 5sgthadrnl__L_e + adp_c + h_c + pi_c
enzyme_ADRNLGTHABCte_rev	cplx_MONOMER_ABCC4	0	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c <-- 5sgthadrnl__L_e + adp_c + h_c + pi_c
enzyme_ADRNLGTHABCte_rev	cplx_MONOMER_RALBP1	0	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c <-- 5sgthadrnl__L_e + adp_c + h_c + pi_c
enzyme_ADRNLPX_L_fwd	cplx_HOMODIMER_PRDX6	127590.59475038771	pc	ADRNLPX_L	2.0 adrnl__L_c + h2o2_c --> 2.0 adrnlsqn__L_c + 2.0 h2o_c
enzyme_ADRNLPX_L_fwd	cplx_HOMOTETRAMER_CAT	412081.4057225475	pc	ADRNLPX_L	2.0 adrnl__L_c + h2o2_c --> 2.0 adrnlsqn__L_c + 2.0 h2o_c
enzyme_ADRNLPX_L_rev	cplx_HOMODIMER_PRDX6	0	pc	ADRNLPX_L	2.0 adrnl__L_c + h2o2_c <-- 2.0 adrnlsqn__L_c + 2.0 h2o_c
enzyme_ADRNLPX_L_rev	cplx_HOMOTETRAMER_CAT	0	pc	ADRNLPX_L	2.0 adrnl__L_c + h2o2_c <-- 2.0 adrnlsqn__L_c + 2.0 h2o_c
enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A	135310.99365450782	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c --> 2.0 adrnlsqn__L_c + nad_c
enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5B	155183.4697183303	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c --> 2.0 adrnlsqn__L_c + nad_c
enzyme_ADRNLQ1ERx_L_fwd	cplx_MONOMER_CYB5R3	90411.35028515445	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c --> 2.0 adrnlsqn__L_c + nad_c
enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A	0	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c <-- 2.0 adrnlsqn__L_c + nad_c
enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5B	0	pc	ADRNLQ1ERx_L	2.0 adrnlqn__L_c + h_c + nadh_c <-- 2.0 adrnlsqn__L_c + nad_c
